,year,country,mean_hi,count_hi,mean_strg,count_strg,pol_count,co2_tot,co2_per_cap,co2_cum,co2_share
67,1751,Guyana,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
68,1751,Haiti,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
69,1751,Honduras,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
70,1751,Hungary,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
71,1751,Iceland,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
72,1751,India,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
73,1751,Indonesia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
74,1751,Iran,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
75,1751,Iraq,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
76,1751,Ireland,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
77,1751,Israel,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
78,1751,Italy,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
79,1751,Jamaica,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
80,1751,Japan,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
81,1751,Jordan,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
82,1751,Kazakhstan,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
83,1751,Kenya,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
84,1751,Kiribati,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
85,1751,Kuwait,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
86,1751,Kyrgyz Republic,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
87,1751,Lao,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
88,1751,Latvia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
89,1751,Lebanon,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
90,1751,Lesotho,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
91,1751,Liberia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
92,1751,Libya,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
93,1751,Liechtenstein,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
94,1751,Lithuania,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
95,1751,Luxembourg,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
96,1751,Madagascar,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
97,1751,Malawi,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
98,1751,Malaysia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
99,1751,Maldives,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
100,1751,Mali,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
101,1751,Malta,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
102,1751,Marshall Islands,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
103,1751,Mauritania,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
104,1751,Mauritius,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
105,1751,Mexico,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
106,1751,"Micronesia, Fed. Sts.",0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
107,1751,Moldova,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
108,1751,Mongolia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
109,1751,Montenegro,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
110,1751,Morocco,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
111,1751,Mozambique,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
112,1751,Myanmar,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
113,1751,Namibia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
114,1751,Nauru,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
115,1751,Nepal,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
116,1751,Netherlands,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
117,1751,New Zealand,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
118,1751,Nicaragua,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
119,1751,Niger,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
120,1751,Nigeria,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
121,1751,North Korea,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
122,1751,North Macedonia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
123,1751,Norway,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
124,1751,Oman,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
125,1751,Pakistan,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
126,1751,Palau,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
127,1751,Panama,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
128,1751,Papua New Guinea,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
129,1751,Paraguay,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
130,1751,Peru,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
131,1751,Philippines,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
132,1751,Poland,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
133,1751,Portugal,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
134,1751,Qatar,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
135,1751,Romania,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
136,1751,Russia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
137,1751,Rwanda,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
138,1751,Samoa,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
139,1751,Sao Tome and Principe,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
140,1751,Saudi Arabia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
141,1751,Senegal,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
142,1751,Serbia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
143,1751,Seychelles,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
144,1751,Sierra Leone,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
145,1751,Singapore,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
146,1751,Slovak Republic,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
147,1751,Slovenia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
148,1751,Solomon Islands,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
149,1751,Somalia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
150,1751,South Africa,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
151,1751,South Korea,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
152,1751,South Sudan,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
153,1751,Spain,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
154,1751,Sri Lanka,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
155,1751,St. Kitts and Nevis,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
156,1751,St. Lucia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
157,1751,St. Vincent and the Grenadines,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
158,1751,Sudan,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
159,1751,Suriname,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
160,1751,Swaziland,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
161,1751,Sweden,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
162,1751,Switzerland,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
163,1751,Syria,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
164,1751,Tajikistan,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
165,1751,Tanzania,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
166,1751,Thailand,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
167,1751,Timor-Leste,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
168,1751,Togo,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
169,1751,Tonga,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
170,1751,Trinidad and Tobago,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
171,1751,Tunisia,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
172,1751,Turkey,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
